Benzophenone,Alanine,Oatmeal agar,Oatmeal agar (raw),Wavenumber,Wavelength
1115.07,1555.969433,47648.16014,47801.99,753.5886121,834.15
1211.46,1632.650713,47649.05918,47863.65,755.4566572,834.28
1424.2,1724.235442,47649.48444,47829.12,757.4677472,834.42
1904.94,1880.323625,47649.44619,47794.4,759.4781624,834.56
2683.76,2137.215268,47648.95564,47775.36,761.4879032,834.7
3250.29,2566.410374,47648.0247,47771.17,763.3534876,834.83
3378,3198.408949,47646.66593,47734.25,765.3619288,834.97
3220.22,4026.910997,47644.89248,47668.26,767.3696965,835.11
2720.39,5025.216522,47642.71797,47703.66,769.3767913,835.25
1911.66,5339.425531,47640.15611,47676.09,771.2399197,835.38
1331.1,5269.338026,47637.22093,47622.41,773.2457173,835.52
1102.05,4772.354014,47633.92664,47583.46,775.2508429,835.66
1019.93,3940.873498,47630.28737,47651.81,777.1121437,835.79
984.74,2988.396482,47626.317,47631.41,779.115974,835.93
968.12,2286.922972,47622.02951,47537.42,781.1191333,836.07
961.89,1886.952972,47617.43891,47616.23,782.9786092,836.2
957.74,1670.786486,47612.55881,47533.72,784.9804752,836.34
956.06,1537.22352,47607.40277,47525.91,786.9816711,836.48
954.63,1481.164076,47601.98398,47466.13,788.9821973,836.62
954.09,1444.508161,47596.31524,47401.22,790.8392293,836.75
955.11,1424.455778,47590.40863,47386.97,792.8384647,836.89
954.64,1404.706932,47584.2753,47371.51,794.8370313,837.03
957.54,1377.561627,47577.92534,47344.39,796.6922447,837.16
968.15,1362.519868,47571.3678,47368.55,798.6895225,837.3
987.04,1336.281659,47564.61057,47288.06,800.6861325,837.44
1022.32,1318.247004,47557.66049,47338.45,802.5395298,837.57
1087.34,1315.815909,47550.52307,47307.31,804.5348529,837.71
1194.43,1325.588377,47543.20268,47236.37,806.5295091,837.85
1294.67,1327.064413,47535.70248,47263.16,808.3810931,837.98
1338.15,1346.944022,47528.02412,47244.5,810.3744643,838.12
1329.09,1369.927207,47520.16787,47199.88,812.3671697,838.26
1269.32,1378.013973,47512.13258,47209.2,814.2169431,838.39
1161.71,1396.904324,47503.9155,47204.51,816.2083652,838.53
1058.66,1426.398266,47495.51238,47168.44,818.1991226,838.67
1003.36,1478.995801,47486.91745,47223.24,820.0470879,838.8
978.22,1507.196936,47478.12333,47219.52,822.0365639,838.94
970.97,1576.101673,47469.12129,47253.83,824.0253761,839.08
970.92,1640.410018,47459.90133,47338.93,825.8715361,839.21
977.9,1727.521974,47450.45238,47335.42,827.8590688,839.35
987.52,1837.437546,47440.76274,47379.36,829.8459386,839.49
1006.44,2019.856739,47430.82015,47477.3,831.6902959,839.62
1031.73,2266.079556,47420.61205,47432.96,833.6758882,839.76
1064.25,2590.806003,47410.12609,47508.59,835.6608185,839.9
1108.76,3111.636082,47399.35001,47605.73,837.5033757,840.03
1166.8,3911.669799,47388.27201,47522.88,839.4870304,840.17
1261.15,5205.107158,47376.88136,47652.76,841.3284036,840.3
1438.02,7402.048163,47365.16797,47624.84,843.3107838,840.44
1700.03,11314.09282,47353.12315,47637.04,845.2925037,840.58
1909.07,17313.14113,47340.73949,47754.56,847.1320812,840.71
2008.62,24582.6931,47328.01101,47662.29,849.1125285,840.85
2084.94,30667.14873,47314.93381,47715.47,850.9509249,840.98
2147.35,33326.20802,47301.50564,47738.01,852.9301009,841.12
2165.94,31893.77099,47287.72627,47636.21,854.9086181,841.26
2151.85,26883.53763,47273.59764,47630.41,856.7452231,841.39
2108.41,19683.40795,47259.12344,47576.13,858.7224708,841.53
2007.24,12882.88195,47244.30915,47476.37,860.6990608,841.67
1801.04,8248.159638,47229.16181,47470.47,862.5338771,841.8
1538.09,5707.141009,47213.68965,47435.8,864.5091994,841.94
1348.85,4339.82607,47197.9021,47389.92,866.3428391,842.07
1245.68,3525.714824,47181.80968,47332.81,868.316895,842.21
1176.39,2984.307274,47165.42389,47336.32,870.2902948,842.35
1119.24,2610.003424,47148.75698,47304.76,872.1221501,842.48
1078.41,2323.503276,47131.82206,47254.07,874.0942852,842.62
1054.62,2101.506834,47114.633,47187.09,875.9249669,842.75
1036.61,1952.7141,47097.20431,47148.98,877.8958387,842.89
1020.63,1824.525077,47079.55083,47072.7,879.7253478,843.02
1009.55,1722.039768,47061.6877,47027.72,881.6949574,843.16
993.17,1634.058177,47043.62999,46859.07,883.6639131,843.3
981.07,1561.680306,47025.3926,46915.55,885.4916438,843.43
973.08,1528.406158,47006.98954,46900.11,887.4593392,843.57
967.64,1490.635736,46988.43425,46871.16,889.2859001,843.7
967.33,1469.669044,46969.73962,46802.67,891.2523364,843.84
970.22,1449.306083,46950.91798,46894.01,893.0777288,843.97
976.21,1457.846857,46931.98081,46786.79,895.0429072,844.11
982.31,1464.691369,46912.93931,46766.86,896.8671321,844.24
989.66,1485.839622,46893.80396,46764.92,898.8310538,844.38
995.07,1516.791618,46874.5845,46661.31,900.7943244,844.52
996.01,1553.84736,46855.29003,46649.81,902.6167786,844.65
997.9,1637.306853,46835.92858,46598.87,904.5787944,844.79
1004.58,1778.870097,46816.50715,46558.09,906.4000839,844.92
1011.21,2013.837096,46797.03158,46577.54,908.360846,845.06
1030.92,2428.207854,46777.50637,46561.26,910.180972,845.19
1064.07,3159.282372,46757.93497,46554.15,912.1404817,845.33
1125.7,4369.860654,46738.31972,46623.74,913.9594452,845.46
1191.55,5946.442702,46718.66195,46589.24,915.9177036,845.6
1235.09,7462.82852,46698.96243,46592.4,917.7355059,845.73
1246.51,8559.51811,46679.22126,46633.18,919.6925142,845.87
1229.13,8783.411474,46659.43801,46604.12,921.5091563,846
1174.51,8043.508616,46639.61204,46648.1,923.4649158,846.14
1120.67,6658.109538,46619.74242,46657.24,925.2803988,846.27
1101.38,5080.614243,46599.82826,46631.91,927.2349106,846.41
1133.76,3661.322733,46579.86885,46580.45,929.0492356,846.54
1228.12,2727.435011,46559.86367,46655.76,931.002501,846.68
1352.96,2192.551079,46539.81217,46680.19,932.8156691,846.81
1440.97,1892.87094,46519.7143,46561.8,934.7676892,846.95
1509.34,1712.694596,46499.5707,46693,936.5797015,847.08
1590.19,1589.822051,46479.38223,46699.33,938.5304776,847.22
1661.49,1527.553305,46459.15071,46687.55,940.3413352,847.35
1685.56,1465.888363,46438.87907,46640.56,942.2908684,847.49
1713.89,1426.027225,46418.57136,46647.46,944.1005725,847.62
1681.85,1405.869896,46398.23267,46551.08,946.0488639,847.76
1565.45,1376.316377,46377.8692,46448.88,947.8574156,847.89
1394.85,1351.66667,46357.48795,46351.78,949.8044665,848.03
1246.67,1330.320778,46337.09624,46331.58,951.6118668,848.16
1135.62,1314.078704,46316.70139,46306.06,953.5576783,848.3
1086.52,1299.34045,46296.31067,46311.39,955.3639284,848.43
1082.18,1300.006018,46275.93131,46091.54,957.3085018,848.57
1093.12,1294.875411,46255.57062,46219.57,959.1136027,848.7
1101.8,1303.148631,46235.23498,46122.51,961.0569391,848.84
1110.31,1295.025681,46214.93058,46106.6,962.8608919,848.97
1123.35,1302.306563,46194.66307,46100,964.8029926,849.11
1145.22,1307.791279,46174.43754,46054.89,966.6057984,849.24
1180.46,1306.079832,46154.25861,46038.58,968.4080524,849.37
1214.41,1321.872224,46134.13031,46009.72,970.3483244,849.51
1249.93,1299.368457,46114.05608,45936.33,972.1494331,849.64
1311.87,1303.768535,46094.03874,45919.99,974.0884722,849.78
1422.49,1312.372458,46074.08024,45841.19,975.8884366,849.91
1717.64,1320.48023,46054.18163,45874.73,977.826244,850.05
2385.62,1331.691854,46034.34282,45809.33,979.6250652,850.18
3345.38,1351.00733,46014.56281,45834.88,981.4233364,850.31
4147.35,1359.826662,45994.83949,45872.27,983.3593213,850.45
4743.78,1382.449851,45975.16982,45830.23,985.1564509,850.58
5376.14,1379.376901,45955.55017,45811.87,987.091207,850.72
6430.7,1401.607814,45935.9762,45871.92,988.8871962,850.85
9005.97,1425.142591,45916.44282,45840.21,990.8207247,850.99
14819.36,1453.181235,45896.94463,45836.16,992.6155744,851.12
21247.28,1471.923749,45877.47586,45805.26,994.409876,851.25
26555.13,1523.970134,45858.03043,45814.49,996.3415879,851.39
30781.35,1597.920394,45838.6019,45786.37,998.1347517,851.52
31553.03,1716.974529,45819.1836,45793.13,1000.065239,851.66
27388.27,1900.332543,45799.76861,45774.9,1001.857266,851.79
21502.91,2189.794438,45780.34989,45819.24,1003.648746,851.92
15782.47,2685.960215,45760.92025,45870.24,1005.577421,852.06
10059.6,3533.029878,45741.47271,45837.05,1007.367766,852.19
5892.69,4979.603428,45722.00085,45841.89,1009.295219,852.33
3588.39,6880.980868,45702.4987,45807.45,1011.08443,852.46
2489.47,8514.3622,45682.9609,45769.83,1012.873096,852.59
2071.23,9346.547425,45663.38262,45703.98,1014.798741,852.73
2049.06,9473.236547,45643.75947,45753.89,1016.586274,852.86
2323.33,8972.329566,45624.08725,45598.99,1018.373262,852.99
3127.97,8439.726486,45604.36231,45675.83,1020.297102,853.13
5184.54,8777.127307,45584.58088,45586.51,1022.082959,853.26
8617.33,9964.032033,45564.73955,45508.54,1023.868272,853.39
11310.97,11150.44066,45544.83492,45579.39,1025.790309,853.53
12434.55,11686.9532,45524.8633,45531.27,1027.574493,853.66
12200.09,11078.76965,45504.82119,45522.15,1029.495314,853.8
10364.08,9344.390011,45484.70509,45529.75,1031.27837,853.93
6944.78,7051.914283,45464.51162,45486.69,1033.060883,854.06
4035.53,5021.442469,45444.23762,45399.35,1034.979905,854.2
2485.02,3555.974571,45423.88002,45418.57,1036.761292,854.33
1804.27,2702.410591,45403.43554,45285.73,1038.542136,854.46
1513.95,2211.750529,45382.90087,45252.92,1040.459363,854.6
1367.14,1924.794389,45362.27213,45236.62,1042.239082,854.73
1284.69,1754.44217,45341.54475,45179.85,1044.01826,854.86
1238.77,1672.793874,45320.71358,45213.59,1045.933693,855
1202.85,1549.049504,45299.77262,45258.5,1047.711747,855.13
1188.68,1498.00906,45278.71536,45210.29,1049.489262,855.26
1176.61,1432.372544,45257.53507,45186.3,1051.266235,855.39
1175.73,1395.639957,45236.22468,45142.34,1053.179295,855.53
1173.62,1350.511301,45214.77678,45077.32,1054.955148,855.66
1176.62,1325.386577,45193.18347,45072.25,1056.730461,855.79
1182.5,1305.765787,45171.43616,45029.26,1058.641733,855.93
1182.92,1281.948932,45149.52568,44995.43,1060.415926,856.06
1184.37,1288.536013,45127.44213,44902.12,1062.189581,856.19
1179.52,1268.127033,45105.17484,44975.9,1064.099068,856.33
1184.94,1260.821992,45082.71203,44883.42,1065.871604,856.46
1204.55,1260.020892,45060.04124,44922.42,1067.643602,856.59
1247.57,1249.223733,45037.14905,44926.73,1069.415063,856.72
1297.09,1248.630519,45014.02134,44986.14,1071.322188,856.86
1332.37,1247.341249,44990.64342,44949.67,1073.092532,856.99
1338.42,1235.655926,44967.00049,44985.64,1074.86234,857.12
1311.74,1243.87455,44943.07751,45070.13,1076.767685,857.26
1255.19,1281.397124,44918.85958,45050.17,1078.536378,857.39
1188.73,1256.323648,44894.33239,44961.01,1080.304535,857.52
1135.38,1253.054123,44869.4823,44972.24,1082.072155,857.65
1105.64,1267.988552,44844.29603,44929.82,1083.975147,857.79
1096.36,1263.226936,44818.76078,44904.66,1085.741655,857.92
1099.67,1303.269275,44792.86418,44923.42,1087.507627,858.05
1103.15,1314.215571,44766.59432,44846.67,1089.273065,858.18
1103.72,1330.665826,44739.93991,44808.1,1091.173707,858.32
1103.57,1364.220041,44712.89008,44876.5,1092.938035,858.45
1096.45,1410.078217,44685.43428,44815.11,1094.701827,858.58
1089.57,1473.240355,44657.5628,44841.7,1096.465086,858.71
1081.14,1569.606457,44629.26658,44747.74,1098.227811,858.84
1079.7,1697.176523,44600.53745,44788.65,1100.125534,858.98
1081.11,1869.450557,44571.36787,44789.58,1101.887151,859.11
1082.64,2123.128557,44541.75121,44713.14,1103.648235,859.24
1092.65,2607.210527,44511.68195,44640.3,1105.408786,859.37
1094.06,3375.096466,44481.15543,44691.93,1107.304169,859.51
1105.34,4765.786377,44450.16761,44706.73,1109.063614,859.64
1120.5,6652.980261,44418.71553,44646.94,1110.822528,859.77
1145.85,8588.778118,44386.7975,44663.61,1112.580909,859.9
1181.1,9859.37995,44354.41296,44658.61,1114.338759,860.03
1230.96,10060.18576,44321.56276,44623.7,1116.231234,860.17
1301.37,9249.795543,44288.24926,44631.17,1117.987981,860.3
1384.17,7547.909306,44254.47631,44645.63,1119.744197,860.43
1484.12,5546.927049,44220.24951,44582.42,1121.499882,860.56
1588.31,3968.948771,44185.57639,44489.21,1123.255037,860.69
1710.07,3000.374475,44150.46631,44354.31,1125.144611,860.83
1884.53,2595.80416,44114.93012,44374.93,1126.898665,860.96
2127.76,2447.137828,44078.97972,44386.05,1128.652189,861.09
2466.05,2508.575479,44042.62829,44302.71,1130.405184,861.22
