ENLIGHTEN Version,3.2.30
Measurement ID,,,20230419-151809-671888-WP-00643
Serial Number,,,WP-00643
Model,,,WP-785-R-SR-LMMF
Detector,,,S11511
Label,,,15:18:09 WP-00643
756,901.62,1650.65,24115.79
757,901.73,1652.11,21395.01
758,901.85,1653.56,16282.24
759,901.97,1655.01,10956.66
760,902.09,1656.47,7152.93
761,902.21,1657.92,4866.42
762,902.33,1659.37,3520.54
763,902.44,1660.82,2699.57
764,902.56,1662.27,2170.44
765,902.68,1663.71,1846.46
766,902.80,1665.16,1647.32
767,902.92,1666.60,1525.63
768,903.03,1668.05,1439.58
769,903.15,1669.49,1371.91
770,903.27,1670.93,1310.66
771,903.39,1672.38,1264.09
772,903.50,1673.82,1225.46
773,903.62,1675.26,1200.53
774,903.74,1676.69,1182.86
775,903.86,1678.13,1176.20
776,903.97,1679.57,1171.28
777,904.09,1681.00,1174.58
778,904.21,1682.44,1173.42
779,904.33,1683.87,1173.89
780,904.44,1685.30,1170.71
781,904.56,1686.74,1163.07
782,904.68,1688.17,1149.20
783,904.79,1689.60,1135.84
784,904.91,1691.02,1122.00
785,905.03,1692.45,1106.10
786,905.14,1693.88,1096.40
787,905.26,1695.30,1084.62
788,905.38,1696.73,1075.60
789,905.49,1698.15,1067.24
790,905.61,1699.57,1061.38
791,905.73,1701.00,1055.04
792,905.84,1702.42,1054.68
793,905.96,1703.84,1052.64
794,906.08,1705.25,1051.87
795,906.19,1706.67,1058.10
796,906.31,1708.09,1064.23
797,906.43,1709.50,1074.28
798,906.54,1710.92,1089.37
799,906.66,1712.33,1106.58
800,906.77,1713.74,1135.23
801,906.89,1715.16,1161.31
802,907.01,1716.57,1184.87
803,907.12,1717.98,1202.47
804,907.24,1719.38,1208.17
805,907.35,1720.79,1206.03
806,907.47,1722.20,1190.11
807,907.59,1723.60,1168.79
808,907.70,1725.01,1145.70
809,907.82,1726.41,1120.96
810,907.93,1727.82,1098.70
811,908.05,1729.22,1073.72
812,908.16,1730.62,1051.76
813,908.28,1732.02,1027.44
814,908.40,1733.42,1005.60
815,908.51,1734.81,983.04
816,908.63,1736.21,962.31
817,908.74,1737.61,946.97
818,908.86,1739.00,937.38
819,908.97,1740.40,929.47
820,909.09,1741.79,925.88
821,909.20,1743.18,921.93
822,909.32,1744.57,920.70
823,909.43,1745.96,920.37
824,909.55,1747.35,920.60
825,909.66,1748.74,918.70
826,909.78,1750.12,919.12
827,909.89,1751.51,918.21
828,910.01,1752.89,915.70
829,910.12,1754.28,916.85
830,910.23,1755.66,911.60
831,910.35,1757.04,908.00
832,910.46,1758.42,905.18
833,910.58,1759.80,902.72
834,910.69,1761.18,899.42
835,910.81,1762.56,894.89
836,910.92,1763.94,891.77
837,911.04,1765.31,887.88
838,911.15,1766.69,883.46
839,911.26,1768.06,882.05
